"Table 5.3.4. Price Indexes for Private Fixed Investment by Type"
"[Index numbers, 2009=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: June 28, 2018 - Next Release Date July 27, 2018"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","        Nonresidential structures8",6.405,7.127,7.105,7.195,8.023,8.236,8.398,8.296,8.463,9.187,9.581,9.427,9.480,9.468,9.410,9.483,9.565,9.702,9.983,10.342,10.664,11.200,11.935,12.721,13.699,14.685,15.822,18.010,20.163,21.152,22.987,25.208,28.137,30.752,34.983,37.743,36.778,37.097,37.975,38.698,39.315,40.978,42.582,43.956,44.752,44.763,46.080,47.710,49.781,51.048,53.004,55.439,57.168,59.425,62.544,65.191,67.564,72.681,81.888,91.920,97.519,102.208,100.000,98.851,101.881,105.908,108.147,113.431,115.490,115.625,118.815
"30","        Residential structures9",9.088,9.857,9.997,10.250,10.985,11.294,11.377,11.426,11.675,11.987,12.022,11.994,12.021,12.107,12.132,12.156,12.062,12.166,12.532,13.006,13.474,14.203,15.177,15.673,16.601,17.634,19.227,21.228,23.209,24.685,27.160,30.516,33.930,37.677,40.816,42.979,43.894,45.111,46.174,47.974,49.768,51.499,53.146,54.464,55.213,55.893,58.180,60.154,62.472,63.834,65.669,67.501,70.284,73.403,76.703,78.665,82.569,89.186,95.716,102.047,103.804,103.107,100.000,100.208,102.122,103.087,107.374,113.365,116.118,120.312,124.743
"31","    Private fixed investment in information processing equipment and software",279.257,285.356,287.390,293.584,311.134,305.611,304.555,307.545,311.105,319.939,335.437,339.320,342.363,340.491,335.808,327.860,316.200,311.406,303.258,288.133,284.135,282.100,284.448,287.149,280.522,274.345,276.386,281.572,298.848,301.443,297.665,286.534,284.471,286.450,293.241,297.139,289.339,277.023,266.900,258.890,251.663,248.274,242.827,236.664,232.516,220.202,211.777,203.273,193.688,178.349,164.667,148.690,138.302,134.366,127.693,121.828,115.845,111.608,108.634,106.271,104.366,102.305,100.000,98.705,98.164,97.149,96.531,95.051,93.266,92.191,91.677
"Legend / Footnotes:"
"1. Includes petroleum and mineral exploration."
"2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational structures, net purchases of used structures, and brokers' commissions on the sale of structures."
"3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related equipment, and office and accounting equipment."
"4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified."
"5. Excludes software embedded, or bundled, in computers and other equipment."
"6. Research and development investment excludes expenditures for software development. Software development expenditures are included in software investment on line 17."
"7. Consists primarily of manufactured homes, improvements, dormitories, net purchases of used structures, and brokers' commissions on the sale of residential structures and adjoining land, and other ownership transfer costs."
"8. Excludes net purchases of used structures and brokers' commissions on the sale of structures."
"9. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs."
