gvkey,fyear,TFP
1056,2006,-.3662963
1057,1967,-.2210967
1058,1964,-.1530059
1058,1965,-.0715946
1058,1969,-.1123903
1058,1970,.0069222
1058,1971,-.1379533
1058,1972,-.160713
1058,1973,-.2176126
1058,1974,-.296329
1058,1975,-.1490097
1058,1976,-.0163184
1058,1977,.0338467
1058,1978,-.22831
1058,1979,-.4099468
1058,1980,-.3460605
1058,1981,-.4612834
1058,1982,-.4034576
1058,1983,-.3571605
1058,1984,-.4625898
1058,1985,-.3887295
1058,1986,-.3955433
1058,1987,-.4594334
1058,1988,-.4839315
1058,1989,-.6018901
1058,1990,-.9272899
1058,1991,-1.003821
1058,1992,-1.508926
1059,1974,-.275284
1059,1975,-.2698018
1059,1976,-.1946476
1059,1977,-.1714957
1059,1978,-.2041921
1059,1979,-.2769296
1059,1980,-.3695629
1064,1977,-.7379623
1067,1966,-.4218148
1067,1967,-.4898169
1067,1968,-.668164
1067,1969,-.463583
1067,1970,-.4494173
1067,1971,-.4350048
1067,1972,-.5173029
1067,1973,-.5487807
1067,1974,-.4535943
1067,1975,-.6326141
1067,1976,-.9475447
1067,1977,-.8664398
1067,1978,-.6733074
1067,1979,-.6467149
1067,1980,-.4683212
1067,1981,-.6912915
1067,1982,-.6465054
1067,1983,-.7492362
1068,1977,-.6291294
1068,1978,-.5006067
1069,1984,.2214101
1070,1971,-.5162728
1070,1972,-.5417708
1070,1973,-.3542719
1070,1974,-.2846232
1070,1975,-.0149954
1070,1976,-.1825321
1070,1977,-.3749918
1070,1978,-.5914806
1070,1979,-.5665129
1072,1976,-.2302372
1072,1977,-.2175359
1072,1978,-.2223662
1072,1979,-.2402928
1072,1980,-.2297332
1072,1981,-.4956099
1072,1982,-.2965554
1072,1983,-.169887
1072,1984,-.1547022
1072,1985,-.5445129
1072,1986,-.2690809
1072,1987,-.1803952
1072,1988,-.1851074
1072,1989,-.2269187
1072,1995,-.1975151
1072,1996,-.1789175
1072,1997,-.2824549
1072,1998,-.3941478
1072,1999,-.2856917
1072,2000,.1380891
1072,2001,-.2529226
1072,2002,-.3488218
1072,2003,-.591278
1072,2004,-.5637949
1072,2005,-.5992253
1072,2006,-.4378978
1072,2007,-.4511093
1072,2008,-.5401427
1072,2009,-.3985326
1072,2010,-.4015689
1072,2011,-.3549526
1072,2012,-.4385403
1072,2013,-.4884188
1072,2014,-.5164598
1072,2015,-.5419738
1072,2016,-.5681565
1074,1970,.0270572
1074,1971,-.1023507
1074,1972,-.2649122
1074,1973,-.1743055
1074,1974,-.9017889
1074,1975,-.5603597
1074,1976,-.7773573
1074,1977,-1.087584
1074,1978,-.4604996
1074,1979,-.4533313
1074,1980,-.6395223
1074,1981,-1.05514
1076,1984,-.5023785
1076,1985,-.5424122
1076,1986,-.2162014
1076,1987,-.4886589
1076,1988,-.5437408
1076,1989,-.6403404
1076,1990,-.627168
1076,1991,-.624252
1076,1992,-.5207827
1076,1993,-.5907686
1076,1994,-.5444058
1076,1995,-.6762587
1076,1996,-.5296311
1076,1997,-.3197761
